Id,Interests,Situation,Noise,SleepSchedule,Personnality,City
uLxIef40I4IAzwv087,"['Fashion', 'Cars and automobiles', 'Art']",Worker,Noisy,Morning,Introvert,Casablanca
0LSd3oWzU7sVw4J104,"['Food and dining', 'Gaming', 'Sports']",Student,Silent,Night,Extrovert,Casablanca
R5lyLjEeUrkoLKj134,"['Cooking', 'Parenting and family', 'Gaming']",Worker,Silent,Night,Introvert,Tangier
bF69H4qObAkepZY065,"['Books', 'Finance and investments']",Worker,Silent,Night,Extrovert,Agadir
emYEiwSfBfTq8v7115,"['History', 'Pets', 'DIY and crafts']",Student,Silent,Night,Extrovert,Agadir
lJlz0EVUlHfH9vp117,"['Science', 'Movies', 'Books']",Student,Noisy,Night,Extrovert,Oujda
PjiEf3qDpHc0K0D024,['Parenting and family'],Student,Silent,Morning,Introvert,Agadir
2e4S755gVwieuJI033,['Cooking'],Student,Silent,Morning,Introvert,Agadir
YX1Evl30QVajbxq097,"['Parenting and family', 'Photography', 'Fitness', 'Outdoor activities']",Student,Noisy,Morning,Extrovert,Tangier
77i6v5nSDcN5efY031,"['Nature', 'Social causes and activism', 'Fashion', 'Science']",Worker,Noisy,Morning,Extrovert,Rabat
KSfneCaAZedEbxB088,"['Movies', 'Fashion']",Worker,Noisy,Morning,Introvert,Casablanca
EceIHGr5bWDEMgT078,"['Education and learning', 'Photography', 'Technology']",Student,Noisy,Night,Introvert,Tangier
NK7HNbNDxWRp5Cr109,['Business and entrepreneurship'],Worker,Noisy,Night,Introvert,Tangier
ghzEuRyLvh4pIcG135,"['Politics', 'Cooking']",Worker,Noisy,Morning,Introvert,Tangier
tTO4Xu1rUkKhDZN146,"['Business and entrepreneurship', 'Technology', 'History', 'Health and wellness']",Worker,Silent,Morning,Introvert,Casablanca
zxCcMSq1QnaTpFp140,"['Business and entrepreneurship', 'Movies', 'Music', 'Education and learning']",Student,Silent,Morning,Extrovert,Marrakech
tJQbUi67Jq5a1S6031,"['Nature', 'Movies']",Student,Noisy,Morning,Introvert,Casablanca
9RDY2O37bhZDvf5036,"['Cars and automobiles', 'Social causes and activism']",Student,Silent,Night,Introvert,Casablanca
G5ebBlQCBsUyLh9077,"['Politics', 'Nature', 'Technology', 'Finance and investments']",Student,Noisy,Morning,Introvert,Casablanca
gPlUkP5NOPDOIuf132,['Cars and automobiles'],Worker,Silent,Morning,Extrovert,Rabat
gtwkRhfeXaEYsRG157,"['Cars and automobiles', 'Education and learning']",Worker,Silent,Night,Extrovert,Agadir
MyZSzGXchYRPkpk208,['Books'],Worker,Noisy,Morning,Introvert,Tangier
IZh8pqzsov7Rtls170,['Technology'],Student,Noisy,Night,Introvert,Oujda
779NnWOoxaMpPeh099,"['Business and entrepreneurship', 'Art', 'History', 'History']",Student,Noisy,Morning,Extrovert,Oujda
9RJ8MnQliRzOcyv147,"['Business and entrepreneurship', 'Technology', 'Beauty', 'Education and learning']",Worker,Silent,Morning,Introvert,Tangier
CxenH5usYL99wgk107,['Art'],Student,Noisy,Morning,Extrovert,Rabat
PzA2bjTw8Pxyc0o103,"['Business and entrepreneurship', 'Fitness', 'Movies', 'Business and entrepreneurship']",Student,Silent,Morning,Introvert,Rabat
3gIfc5KECl3wQiO043,"['Outdoor activities', 'Gaming']",Student,Silent,Morning,Extrovert,Tangier
pmnaxK1TetEmQnW141,"['Science', 'Books', 'Politics']",Worker,Noisy,Morning,Introvert,Marrakech
RkZ5TKBT85sHNoe099,"['Parenting and family', 'Finance and investments']",Student,Silent,Night,Extrovert,Tangier
o6rBrZ5W8zkOcZL126,"['Fashion', 'History', 'Nature']",Student,Noisy,Morning,Extrovert,Tangier
1skiwQj4dMopbk5072,"['Movies', 'Movies']",Student,Noisy,Morning,Introvert,Marrakech
bJQVBj60zE8fIqH060,"['DIY and crafts', 'Travel']",Student,Silent,Morning,Introvert,Oujda
UsrAozG2HPkSF8I114,"['Science', 'Health and wellness']",Worker,Silent,Night,Extrovert,Marrakech
jgyEUACth1e5Thy092,"['Science', 'Cars and automobiles', 'Pets']",Worker,Noisy,Morning,Extrovert,Rabat
BBYy1rOLeSuioW6126,"['Photography', 'Cooking', 'Food and dining', 'Art']",Worker,Noisy,Morning,Extrovert,Casablanca
mmzcaFmwr0Ur30q087,"['Beauty', 'Gaming']",Worker,Noisy,Night,Extrovert,Marrakech
5tJGGAqObAu32jQ050,"['Music', 'Sports', 'Cooking', 'Travel']",Student,Silent,Morning,Extrovert,Rabat
hGkcTEVtClalIsV134,['Music'],Worker,Silent,Night,Extrovert,Casablanca
m9n05bwk8j5WYAP045,['Fashion'],Student,Noisy,Morning,Introvert,Rabat
OXO6SWp14uZrtBN136,"['Photography', 'Education and learning']",Student,Noisy,Morning,Extrovert,Marrakech
LEwcQPG1eUYr8Tn123,['Social causes and activism'],Worker,Silent,Morning,Extrovert,Fes
7ViJdo89hfGMnKW078,['Outdoor activities'],Worker,Noisy,Night,Introvert,Agadir
1plgiPk0MkrmlD1056,"['Business and entrepreneurship', 'Cooking', 'Business and entrepreneurship', 'Education and learning']",Worker,Noisy,Morning,Introvert,Tangier
RwI1CuZVAmIawmW150,['Food and dining'],Worker,Noisy,Morning,Extrovert,Rabat
DbiuoecseMCfptF107,"['Technology', 'Travel', 'Movies', 'Travel']",Worker,Silent,Night,Introvert,Agadir
8qbxT94KDVscsfR098,"['Movies', 'Food and dining', 'Photography']",Student,Noisy,Night,Extrovert,Oujda
rQw6IcxsQ7D7GVE100,"['History', 'Nature', 'Gaming', 'Movies']",Student,Noisy,Night,Introvert,Fes
3nFQSqRTmLwDfGu144,"['Music', 'Art']",Worker,Noisy,Night,Extrovert,Agadir
claMQrBHQ2fDFCe061,"['Social causes and activism', 'History']",Student,Noisy,Morning,Extrovert,Marrakech
8RaCPQdtfniprRt132,"['Movies', 'Health and wellness', 'Fashion']",Worker,Noisy,Night,Introvert,Tangier
dxwijPx8OPjBdEF120,"['Gaming', 'Pets']",Worker,Noisy,Night,Extrovert,Tangier
MYEBZUACnXvsR9F152,['Pets'],Student,Silent,Night,Introvert,Tangier
FIJcrxHPbRFDdlg107,"['Fitness', 'Sports', 'Business and entrepreneurship', 'Books']",Worker,Silent,Night,Extrovert,Oujda
SeOsslC1ZJ4Nqt7103,['Beauty'],Student,Silent,Morning,Introvert,Agadir
Sf9bLjW1i6sG6Tx069,"['Technology', 'Finance and investments', 'History']",Student,Silent,Night,Extrovert,Casablanca
